budget,feasibility_rejections,full_evaluator_calls,hv_ratio,igd_plus,method,n_eval,proposal_count,recall,runtime,scale,seed,structural_rejections,workload
1000,782,1000,0.854,0.0602,random,1000,1489,0.0625,0.0116,S2,6,489,sensing
1000,325,1000,1.0,0.0,nsga2,1000,1180,1.0,0.2202,S2,6,180,sensing
1000,770,1000,0.9169,0.02049,random,1000,1487,0.4375,0.0112,S2,7,487,sensing
1000,316,1000,1.0,0.0,nsga2,1000,1132,1.0,0.216,S2,7,132,sensing
1000,775,1000,0.8973,0.04403,random,1000,1468,0.25,0.0123,S2,8,468,sensing
1000,326,1000,1.0,0.0,nsga2,1000,1120,1.0,0.2305,S2,8,120,sensing
1000,782,1000,0.9444,0.02827,random,1000,1510,0.3125,0.0118,S2,9,510,sensing
1000,386,1000,0.8255,0.0561,nsga2,1000,1057,0.4375,0.1954,S2,9,57,sensing
1000,775,1000,0.8478,0.06836,random,1000,1514,0.1875,0.0118,S2,10,514,sensing
1000,397,1000,0.9076,0.02564,nsga2,1000,1075,0.5625,0.1707,S2,10,75,sensing
1000,763,1000,0.8687,0.05734,random,1000,1524,0.1875,0.0121,S2,11,524,sensing
1000,383,1000,0.0954,0.31588,nsga2,1000,1040,0.4375,0.1994,S2,11,40,sensing
1000,762,1000,0.8444,0.08462,random,1000,1513,0.0625,0.0126,S2,12,513,sensing
1000,361,1000,1.0,0.0,nsga2,1000,1189,1.0,0.2804,S2,12,189,sensing
1000,773,1000,0.8718,0.07011,random,1000,1521,0.0625,0.0116,S2,13,521,sensing
1000,257,1000,0.9021,0.02193,nsga2,1000,1169,0.6875,0.227,S2,13,169,sensing
1000,768,1000,0.8216,0.04545,random,1000,1502,0.375,0.0114,S2,14,502,sensing
